Date;SIE;ALVG;VOWG
17-Apr-2025;187.0200;348.2000;89.5400
16-Apr-2025;186.1400;347.3000;88.8400
15-Apr-2025;185.3000;343.0000;89.3000
14-Apr-2025;185.7000;337.7000;87.3600
11-Apr-2025;180.6800;328.0000;85.3600
10-Apr-2025;186.9400;329.0000;85.2200
09-Apr-2025;177.1600;315.2000;83.8400
08-Apr-2025;182.7400;325.1000;85.9200
07-Apr-2025;176.6000;316.0000;85.4800
04-Apr-2025;185.6200;332.4000;87.5000
03-Apr-2025;197.4800;353.8000;90.0000
02-Apr-2025;214.7500;357.3000;94.1600
01-Apr-2025;214.7500;357.0000;94.5600
31-Mrz-2025;211.9000;352.1000;93.5600
28-Mrz-2025;216.0000;355.3000;96.9600
27-Mrz-2025;221.5500;357.3000;99.3000
26-Mrz-2025;224.5000;355.2000;100.8000
25-Mrz-2025;228.9000;356.2000;102.4000
24-Mrz-2025;225.3500;351.8000;101.4000
21-Mrz-2025;228.8500;351.4000;101.4500
20-Mrz-2025;234.4500;353.7000;102.8000
19-Mrz-2025;236.7000;355.5000;107.2500
18-Mrz-2025;237.0000;358.3000;109.3500
17-Mrz-2025;234.3000;354.0000;108.3000
14-Mrz-2025;231.7500;351.6000;107.6500
13-Mrz-2025;226.5000;348.4000;107.7000
12-Mrz-2025;226.8500;346.7000;109.9500
11-Mrz-2025;223.2000;337.8000;108.9500
10-Mrz-2025;228.4000;342.3000;110.1500
07-Mrz-2025;234.3000;343.2000;108.1500
06-Mrz-2025;243.0000;345.8000;109.7000
05-Mrz-2025;231.5500;342.3000;105.5500
04-Mrz-2025;213.3000;334.4000;102.1000
03-Mrz-2025;225.9500;340.3000;106.5000
28-Feb-2025;221.2000;330.3000;104.1000
27-Feb-2025;220.6000;333.3000;104.3000
26-Feb-2025;223.4500;334.7000;105.9500
25-Feb-2025;216.6000;326.0000;104.9500
24-Feb-2025;218.1000;323.1000;101.4500
21-Feb-2025;221.4500;320.2000;98.9000
20-Feb-2025;221.2500;319.5000;97.3200
19-Feb-2025;220.3500;320.0000;97.4600
18-Feb-2025;226.2000;328.9000;100.3000
17-Feb-2025;227.0000;327.4000;100.4000
14-Feb-2025;225.2000;322.2000;100.2000
13-Feb-2025;227.4500;330.3000;99.7800
12-Feb-2025;212.0500;323.1000;93.7400
11-Feb-2025;214.9000;320.2000;93.3400
10-Feb-2025;211.1500;320.0000;94.3200
07-Feb-2025;207.4500;318.4000;93.7200
06-Feb-2025;208.0500;316.9000;95.9000
05-Feb-2025;201.2500;313.1000;93.3800
04-Feb-2025;201.8500;312.9000;94.6600
03-Feb-2025;202.1000;311.9000;94.6000
31-Jan-2025;207.4500;314.4000;98.6400
30-Jan-2025;205.1500;315.6000;97.8200
29-Jan-2025;203.3500;314.2000;97.5200
28-Jan-2025;200.0500;315.0000;97.8200
